	022um-Control	20210602-MA-ABB1F	20210602-MA-ABB1P	20210602-MA-ABB1W	20210602-MA-ABS1F	20210602-MA-ABS1P	20210602-MA-ABS1W	20210602-MA-CEB1F	20210602-MA-CEB1P	20210602-MA-CEB1W	20210602-MA-CES1F	20210602-MA-CES1P	20210602-MA-CES1W	20210602-MA-CWB1F	20210602-MA-CWB1P	20210602-MA-CWB1W	20210602-MA-CWS1F	20210602-MA-CWS1P	20210602-MA-CWS1W	20210602-MA-MBB1F	20210602-MA-MBB1P	20210602-MA-MBB1W	20210602-MA-MBS1F	20210602-MA-MBS1P	20210602-MA-MBS1W	20210602-MA-SCB1F	20210602-MA-SCB1P	20210602-MA-SCB1W	20210602-MA-SCS1F	20210602-MA-SCS1P	20210602-MA-SCS1W	20210615-MA-ABB2F	20210615-MA-ABB2P	20210615-MA-ABB2W	20210615-MA-ABS1F	20210615-MA-ABS1P	20210615-MA-ABS1W	20210615-MA-CEB1F	20210615-MA-CEB1P	20210615-MA-CEB1W	20210615-MA-CES1F	20210615-MA-CES1P	20210615-MA-CES1W	20210615-MA-CWB1F	20210615-MA-CWB1P	20210615-MA-CWB1W	20210615-MA-CWS1F	20210615-MA-CWS1P	20210615-MA-CWS1W	20210615-MA-MBB1F	20210615-MA-MBB1P	20210615-MA-MBB1W	20210615-MA-MBS1F	20210615-MA-MBS1P	20210615-MA-MBS1W	20210615-MA-SCB2F	20210615-MA-SCB2P	20210615-MA-SCB2W	20210615-MA-SCS2F	20210615-MA-SCS2P	20210615-MA-SCS2W	20211005-MA-ABB2F	20211005-MA-ABB2P	20211005-MA-ABB2W	20211005-MA-ABS1F	20211005-MA-ABS1P	20211005-MA-ABS1W	20211005-MA-CEB1F	20211005-MA-CEB1P	20211005-MA-CEB1W	20211005-MA-CES2F	20211005-MA-CES2P	20211005-MA-CES2W	20211005-MA-CWB1F	20211005-MA-CWB1P	20211005-MA-CWB1W	20211005-MA-CWS1F	20211005-MA-CWS1P	20211005-MA-CWS1W	20211005-MA-MBB1F	20211005-MA-MBB1P	20211005-MA-MBB1W	20211005-MA-MBS1F	20211005-MA-MBS1P	20211005-MA-MBS1W	20211005-MA-SCB1F	20211005-MA-SCB1P	20211005-MA-SCB1W	20211005-MA-SCS2F	20211005-MA-SCS2P	20211005-MA-SCS2W	3um-Control	CJ-V08-P	DNA-Ext-Control	MockZymoPos	WaterControl
ASV_1	0	613	467	902	519	520	602	510	470	339	996	514	832	212	271	331	38	21	37	1518	740	1025	1265	598	1041	501	124	511	895	658	597	271	266	1089	504	364	415	594	435	580	534	303	441	219	389	265	234	203	327	1107	918	1030	1156	978	1210	0	99	90	80	0	133	523	227	654	439	186	530	389	351	388	203	84	149	24	13	12	33	14	17	717	828	1058	679	554	872	529	412	227	518	425	483	0	191	0	0	6
ASV_2	0	298	185	295	207	215	220	396	13	273	812	490	816	360	588	617	267	127	206	532	292	335	484	253	337	68	47	90	142	156	140	162	311	1108	497	536	336	868	676	605	673	456	507	381	744	470	426	460	617	733	635	763	803	719	773	0	62	31	22	23	26	568	339	678	494	332	597	268	408	283	610	352	530	155	163	133	183	154	165	733	1138	1064	808	619	718	0	0	200	13	0	12	0	32	0	0	0
ASV_3	8013	48	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	8	182	0	0	0	0	0	0	0	1307	0	0	0	0	3	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	7854	0	5348	0	9681
ASV_4	0	402	344	619	423	311	513	335	221	608	402	48	240	118	112	191	6	0	6	396	161	271	417	111	336	306	74	294	426	58	188	243	45	562	309	141	396	169	80	165	132	0	103	0	0	0	0	0	0	312	165	259	180	130	231	0	64	224	155	44	282	233	0	240	181	0	222	230	168	311	67	0	56	0	0	0	0	0	0	435	154	491	308	135	499	328	139	120	246	60	228	0	14	0	0	0
ASV_5	0	141	117	204	144	94	203	242	222	319	59	0	51	47	33	66	0	0	0	174	61	123	161	64	141	144	48	152	206	0	62	37	0	254	193	91	193	550	305	526	435	161	337	434	474	430	480	333	494	243	128	216	182	109	204	0	20	96	70	0	105	307	65	350	263	56	304	309	159	447	346	59	242	61	35	29	53	15	32	241	83	305	182	75	266	314	134	72	254	0	228	0	0	0	0	0
ASV_6	0	162	169	216	116	81	209	214	148	309	206	26	108	131	141	148	13	0	11	218	36	90	165	48	127	86	21	73	124	21	60	0	30	309	247	119	217	179	97	138	135	89	123	89	105	54	106	80	76	258	171	192	190	139	213	0	0	0	0	0	0	167	16	159	175	20	138	191	172	240	148	15	75	0	0	0	0	0	0	127	63	149	116	66	135	160	92	97	145	53	141	0	0	0	0	0
ASV_7	0	15	20	21	0	0	0	0	567	0	19	0	0	0	0	0	0	0	0	58	0	12	32	50	17	113	70	120	187	170	112	0	0	41	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	19	0	15	0	0	0	403	440	336	143	491	55	39	72	57	29	53	67	53	101	0	0	0	0	0	0	0	0	0	46	40	60	44	38	67	692	505	0	569	461	594	0	35	0	0	0
ASV_8	0	0	0	0	0	0	0	39	0	31	85	15	41	120	82	139	191	124	213	20	0	0	14	9	0	0	0	0	0	0	0	0	0	30	52	14	31	199	112	139	239	74	199	319	444	321	423	317	432	59	26	26	70	33	54	0	0	0	0	0	0	34	6	32	30	0	39	35	15	46	174	54	168	311	254	242	404	148	274	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ASV_9	0	64	73	115	70	44	99	103	161	148	53	17	66	32	36	47	0	0	0	118	42	86	82	68	100	87	14	71	100	0	44	0	18	162	99	40	115	76	42	73	85	35	93	59	64	65	92	51	67	151	80	88	75	88	106	0	82	196	101	0	110	115	15	94	106	18	104	91	67	121	115	27	63	5	5	0	9	7	0	209	78	194	159	62	188	185	80	34	148	0	142	0	0	0	0	0
ASV_10	0	0	136	102	20	234	120	50	0	87	0	0	0	0	0	0	0	0	0	0	69	13	0	59	23	0	180	86	0	254	47	0	68	0	0	53	10	4	49	20	0	215	0	0	0	0	0	0	0	12	253	52	14	454	127	0	284	31	0	1391	21	0	100	0	0	70	0	0	38	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	123	353	0	228	18	0	864	0	0	0
