,names,year,month.x,day,project,station,depth,replicate,fraction,date,month.y,vol_filtered_mL,DNA_conc1a_nguL,total_uL_DNA,tot_ng,DNA_conc1b_nguL,DNA_conc2_nguL,tot_filtration_time,collection_time,process_time,sitting_time,julian_day,total_filter,used_filter,filter_left,X10min_65,dna_kit,vol_DNAused_16S,vol_qPCR,labnote_page,Sample_or_Control
022um-Control,022um-Control,022u,Control,Co,tr,Control,,,Control,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control
20210602-MA-ABB1F,20210602-MA-ABB1F,2021,June,02,MA,Aransas Bay,B,1,Free,6/2/21,June,360,25.9,44.61,1207,NA,did not measure,20,8:30,17:30,9:00,153,1,1,0,no,July26_kit,1.39,2,spilled filtrate,True Sample
20210602-MA-ABB1P,20210602-MA-ABB1P,2021,June,02,MA,Aransas Bay,B,1,Particle,6/2/21,June,360,2.91,34,105,NA,did not measure,20,8:30,17:30,9:00,153,1,1,0,no,July26_kit,12,2,spilled filtrate,True Sample
20210602-MA-ABB1W,20210602-MA-ABB1W,2021,June,02,MA,Aransas Bay,B,1,Whole,6/2/21,June,360,65.3,43.36,2962,NA,did not measure,20,8:30,17:30,9:00,153,1,1,0,no,July26_kit,0.64,2,,True Sample
20210602-MA-ABS1F,20210602-MA-ABS1F,2021,June,02,MA,Aransas Bay,S,1,Free,6/2/21,June,300,39.7,44.94,1864,NA,did not measure,20,8:30,16:45,8:15,153,1,0.5,0.5,yes,July26_kit,1.06,2,,True Sample
20210602-MA-ABS1P,20210602-MA-ABS1P,2021,June,02,MA,Aransas Bay,S,1,Particle,6/2/21,June,300,10.4,42.54,463,NA,did not measure,20,8:30,16:45,8:15,153,1,0.5,0.5,yes,July26_kit,3.46,2,,True Sample
20210602-MA-ABS1W,20210602-MA-ABS1W,2021,June,02,MA,Aransas Bay,S,1,Whole,6/2/21,June,300,47.4,45.11,2233,NA,did not measure,20,8:30,16:45,8:15,153,1,0.5,0.5,yes,July26_kit,0.89,2,,True Sample
20210602-MA-CEB1F,20210602-MA-CEB1F,2021,June,02,MA,Copano East,B,1,Free,6/2/21,June,183,32.5,44.89,1524,NA,did not measure,15,10:55,,,153,1,0.5,0.5,yes,July26_kit,1.11,2,,True Sample
20210602-MA-CEB1P,20210602-MA-CEB1P,2021,June,02,MA,Copano East,B,1,Particle,6/2/21,June,183,1.55,31,51,NA,did not measure,15,10:55,,,153,1,0.5,0.5,yes,July26_kit,15,2,,True Sample
20210602-MA-CEB1W,20210602-MA-CEB1W,2021,June,02,MA,Copano East,B,1,Whole,6/2/21,June,285,69.7,43.4,3164,NA,did not measure,15,10:55,,,153,1,0.5,0.5,yes,July26_kit,0.6,2,,True Sample
20210602-MA-CES1F,20210602-MA-CES1F,2021,June,02,MA,Copano East,S,1,Free,6/2/21,June,146,31.5,44.86,1476,NA,did not measure,15,10:55,,,153,1,0.5,0.5,yes,July26_kit,1.14,2,,True Sample
20210602-MA-CES1P,20210602-MA-CES1P,2021,June,02,MA,Copano East,S,1,Particle,6/2/21,June,146,7.3,41.07,314,NA,did not measure,15,10:55,,,153,1,0.5,0.5,yes,July26_kit,4.93,2,,True Sample
20210602-MA-CES1W,20210602-MA-CES1W,2021,June,02,MA,Copano East,S,1,Whole,6/2/21,June,246,95.3,43.56,4342,NA,did not measure,15,10:55,,,153,1,0.5,0.5,yes,July26_kit,0.44,2,volume estimated from CEB1W,True Sample
20210602-MA-CWB1F,20210602-MA-CWB1F,2021,June,02,MA,Copano West,B,1,Free,6/2/21,June,153,15.7,43.71,718,NA,did not measure,15,9:55,18:51,8:56,153,1,0.5,0.5,yes,July26_kit,2.29,2,,True Sample
20210602-MA-CWB1P,20210602-MA-CWB1P,2021,June,02,MA,Copano West,B,1,Particle,6/2/21,June,153,33.9,44.94,1591,NA,did not measure,15,9:55,18:51,8:56,153,1,0.5,0.5,yes,July26_kit,1.06,2,,True Sample
20210602-MA-CWB1W,20210602-MA-CWB1W,2021,June,02,MA,Copano West,B,1,Whole,6/2/21,June,220,70.7,43.41,3210,NA,did not measure,15,9:55,18:51,8:56,153,1,0.5,0.5,yes,July26_kit,0.59,2,,True Sample
20210602-MA-CWS1F,20210602-MA-CWS1F,2021,June,02,MA,Copano West,S,1,Free,6/2/21,June,152,12.1,43.02,545,NA,did not measure,18,9:55,18:08,8:13,153,1,0.5,0.5,yes,July26_kit,2.98,2,,True Sample
20210602-MA-CWS1P,20210602-MA-CWS1P,2021,June,02,MA,Copano West,S,1,Particle,6/2/21,June,152,22.5,25,608,NA,did not measure,18,9:55,18:08,8:13,153,1,0.5,0.5,yes,July26_kit,12,2,,True Sample
20210602-MA-CWS1W,20210602-MA-CWS1W,2021,June,02,MA,Copano West,S,1,Whole,6/2/21,June,172,65.6,43.36,2976,NA,did not measure,18,9:55,18:08,8:13,153,1,0.5,0.5,yes,July26_kit,0.64,2,,True Sample
20210602-MA-MBB1F,20210602-MA-MBB1F,2021,June,02,MA,Mesquite Bay,B,1,Free,6/2/21,June,212,35.5,44.99,1668,NA,did not measure,17,12:25,,,153,1,0.5,0.5,yes,July26_kit,1.01,2,,True Sample
20210602-MA-MBB1P,20210602-MA-MBB1P,2021,June,02,MA,Mesquite Bay,B,1,Particle,6/2/21,June,212,15,43.6,684,NA,did not measure,17,12:25,,,153,1,0.5,0.5,yes,July26_kit,2.4,2,,True Sample
20210602-MA-MBB1W,20210602-MA-MBB1W,2021,June,02,MA,Mesquite Bay,B,1,Whole,6/2/21,June,292,62.4,43.33,2829,NA,did not measure,17,12:25,,,153,1,0.5,0.5,yes,July26_kit,0.67,2,,True Sample
20210602-MA-MBS1F,20210602-MA-MBS1F,2021,June,02,MA,Mesquite Bay,S,1,Free,6/2/21,June,270,30.9,44.83,1447,NA,did not measure,15,12:25,,,153,1,0.5,0.5,yes,July26_kit,1.17,2,,True Sample
20210602-MA-MBS1P,20210602-MA-MBS1P,2021,June,02,MA,Mesquite Bay,S,1,Particle,6/2/21,June,270,17,43.88,780,NA,did not measure,15,12:25,,,153,1,0.5,0.5,yes,July26_kit,2.12,2,,True Sample
20210602-MA-MBS1W,20210602-MA-MBS1W,2021,June,02,MA,Mesquite Bay,S,1,Whole,6/2/21,June,310,60,45.3,2838,NA,did not measure,15,12:25,,,153,1,0.5,0.5,yes,July26_kit,0.7,2,,True Sample
20210602-MA-SCB1F,20210602-MA-SCB1F,2021,June,02,MA,Shipping Channel,B,1,Free,6/2/21,June,340,20,44.2,924,NA,did not measure,20,13:00,22:07,9:07,153,1,0.5,0.5,yes,July26_kit,1.8,2,,True Sample
20210602-MA-SCB1P,20210602-MA-SCB1P,2021,June,02,MA,Shipping Channel,B,1,Particle,6/2/21,June,340,4.31,37.65,171,NA,did not measure,20,13:00,22:07,9:07,153,1,0.5,0.5,yes,July26_kit,8.35,2,Tears in particle filter that likely happened during filtration,True Sample
20210602-MA-SCB1W,20210602-MA-SCB1W,2021,June,02,MA,Shipping Channel,B,1,Whole,6/2/21,June,425,33.8,44.93,1586,NA,did not measure,20,13:00,22:07,9:07,153,1,0.5,0.5,yes,July26_kit,1.07,2,,True Sample
